PB;Funcionalidade;User Story;Tasks;Dependências;Prioridade
PB20;Consumo de referência fotovoltaico;Como usuário, quero utilizar o histórico de consumo do meu imóvel como referência para dimensionar um sistema fotovoltaico adequado ao meu perfil energético.;"T20.1 Recuperar o imóvel selecionado; T20.2 Recuperar histórico de consumo do localStorage; T20.3 Obter o consumo médio mensal em kWh; T20.4 Validar a existência de dados de consumo; T20.5 Armazenar o consumo de referência para o dimensionamento; T20.6 Apresentar ao usuário o consumo utilizado.";Funcionalidades existentes de imóvel e consumo;Alta
PB21;Recurso solar / HSP;Como usuário, quero que o sistema considere a localização do meu imóvel para utilizar um valor adequado de recurso solar no dimensionamento.;"T21.1 Definir fonte dos dados solares; T21.2 Estruturar dados de HSP; T21.3 Relacionar localização do imóvel ao HSP; T21.4 Implementar consulta do HSP; T21.5 Validar disponibilidade do dado; T21.6 Armazenar HSP utilizado; T21.7 Apresentar HSP e fonte ao usuário.";PB20;Alta
PB22;Percentual de atendimento;Como usuário, quero definir qual percentual do meu consumo desejo atender com energia solar para personalizar o dimensionamento do sistema.;"T22.1 Criar campo para percentual de atendimento; T22.2 Validar entrada; T22.3 Converter percentual para fração; T22.4 Armazenar percentual escolhido; T22.5 Calcular energia mensal que deverá ser atendida pelo sistema.";PB20;Alta
PB23;Dimensionamento fotovoltaico;Como usuário, quero que o sistema calcule a potência fotovoltaica necessária para atender ao percentual de consumo solicitado.;"T23.1 Utilizar consumo de referência; T23.2 Utilizar percentual escolhido; T23.3 Utilizar HSP; T23.4 Definir e documentar fator global de desempenho; T23.5 Calcular energia mensal desejada; T23.6 Calcular potência FV necessária em kWp; T23.7 Validar unidades e resultados; T23.8 Apresentar potência calculada.";PB20, PB21 e PB22;Alta
PB24;Dataset e seleção de módulos;Como usuário, quero que o sistema selecione módulos fotovoltaicos de uma base de equipamentos para atender à potência dimensionada.;"T24.1 Pesquisar módulos fotovoltaicos; T24.2 Documentar fontes técnicas e preços; T24.3 Criar paineis.csv; T24.4 Implementar leitura do dataset; T24.5 Filtrar módulos válidos; T24.6 Calcular quantidade mínima de módulos; T24.7 Calcular potência efetivamente instalada; T24.8 Selecionar módulo; T24.9 Calcular custo total dos módulos; T24.10 Apresentar fabricante, modelo e quantidade.";PB23;Alta
PB25;Dataset e seleção do inversor;Como usuário, quero que o sistema selecione um inversor compatível com a solução fotovoltaica dimensionada.;"T25.1 Pesquisar inversores; T25.2 Documentar fontes técnicas e preços; T25.3 Criar inversores.csv; T25.4 Implementar leitura do dataset; T25.5 Definir critérios técnicos de seleção; T25.6 Filtrar inversores pela potência; T25.7 Verificar parâmetros elétricos necessários; T25.8 Selecionar inversor compatível; T25.9 Calcular custo do inversor; T25.10 Apresentar fabricante e modelo.";PB24;Alta
PB26;Armazenamento por baterias;Como usuário, quero escolher se desejo utilizar baterias e informar a autonomia desejada para que o sistema dimensione o armazenamento necessário.;"T26.1 Criar opção com/sem armazenamento; T26.2 Solicitar autonomia em horas quando houver bateria; T26.3 Calcular consumo médio diário; T26.4 Calcular energia necessária para autonomia; T26.5 Definir DoD e eficiência utilizados; T26.6 Pesquisar baterias; T26.7 Documentar fontes e preços; T26.8 Criar baterias.csv; T26.9 Implementar leitura do dataset; T26.10 Calcular capacidade necessária; T26.11 Calcular quantidade de baterias; T26.12 Calcular capacidade instalada; T26.13 Calcular custo das baterias.";PB23 e PB25;Média
PB27;Compatibilidade técnica;Como usuário, quero que os componentes selecionados sejam tecnicamente compatíveis para receber uma proposta preliminar coerente.;"T27.1 Definir regras básicas de compatibilidade; T27.2 Validar potência dos módulos com inversor; T27.3 Validar parâmetros elétricos adotados; T27.4 Verificar compatibilidade do inversor com armazenamento; T27.5 Impedir combinações incompatíveis; T27.6 Criar mensagens para incompatibilidades; T27.7 Testar combinações válidas; T27.8 Testar combinações inválidas.";PB24, PB25 e PB26 quando houver bateria;Alta
PB28;Orçamento fotovoltaico;Como usuário, quero receber uma estimativa detalhada do custo do sistema fotovoltaico para compreender o investimento aproximado da solução.;"T28.1 Calcular custo dos módulos; T28.2 Calcular custo do inversor; T28.3 Calcular custo das baterias quando utilizadas; T28.4 Definir outros componentes considerados; T28.5 Calcular custos adicionais; T28.6 Calcular custo total dos equipamentos; T28.7 Calcular custo total estimado da solução; T28.8 Separar equipamentos dos demais custos; T28.9 Formatar valores em reais; T28.10 Apresentar orçamento detalhado.";PB24, PB25, PB26 e PB27;Alta
PB29;Proposta preliminar fotovoltaica;Como usuário, quero visualizar uma proposta preliminar completa do sistema fotovoltaico dimensionado para compreender a solução indicada para meu imóvel.;"T29.1 Criar interface da proposta; T29.2 Apresentar imóvel selecionado; T29.3 Apresentar consumo de referência; T29.4 Apresentar percentual de atendimento; T29.5 Apresentar energia mensal pretendida; T29.6 Apresentar HSP e fonte; T29.7 Apresentar potência calculada e instalada; T29.8 Apresentar módulos; T29.9 Apresentar inversor; T29.10 Apresentar armazenamento quando utilizado; T29.11 Apresentar geração estimada; T29.12 Apresentar orçamento; T29.13 Adicionar aviso de pré-dimensionamento acadêmico.";PB20 a PB28;Alta
